wavelength_nm,radiant_sensitivity_mA_per_W
160.8,11.3
164.8,16.0
170,18.8
175,20.9
182.3,24.5
187.9,26.0
193.7,26.9
200,27.6
210,27.8
220,27.8
230,29.2
240,31.5
250,34.1
260,36.1
270,38.6
280,42.6
290,47.3
300,52.7
310,58.0
320,62.7
330,66.6
340,69.9
350,72.8
360,75.7
370,77.6
380,80.4
390,82.7
400,84.7
410,86.1
420,86.9
430,87.0
440,86.5
450,85.4
460,83.1
470,79.1
480,74.8
490,71.2
500,68.3
510,65.9
520,62.0
530,53.9
540,44.2
550,37.2
560,33.3
570,30.4
580,27.5
590,24.6
600,21.6
610,18.6
620,15.5
630,12.5
640,9.58
650,7.01
