wavelength_nm,quantum_efficiency_percent
160.8,8.68
164.8,12.1
170,13.7
175,14.8
182.3,16.6
187.9,17.2
193.7,17.2
200,17.1
210,16.4
220,15.7
230,15.8
240,16.3
250,16.9
260,17.2
270,17.7
280,18.9
290,20.2
300,21.8
310,23.2
320,24.3
330,25.0
340,25.5
350,25.8
360,26.1
370,26.0
380,26.2
390,26.3
400,26.2
410,26.0
420,25.7
430,25.1
440,24.4
450,23.5
460,22.4
470,20.9
480,19.3
490,18.0
500,16.9
510,16.0
520,14.8
530,12.6
540,10.1
550,8.39
560,7.37
570,6.61
580,5.89
590,5.18
600,4.47
610,3.78
620,3.11
630,2.46
640,1.86
650,1.34
