wavelength_nm,radiant_sensitivity_mA_per_W,quantum_efficiency_percent
160.8,11.3,8.68
164.8,16.0,12.1
170,18.8,13.7
175,20.9,14.8
182.3,24.5,16.6
187.9,26.0,17.2
193.7,26.9,17.2
200,27.6,17.1
210,27.8,16.4
220,27.8,15.7
230,29.2,15.8
240,31.5,16.3
250,34.1,16.9
260,36.1,17.2
270,38.6,17.7
280,42.6,18.9
290,47.3,20.2
300,52.7,21.8
310,58.0,23.2
320,62.7,24.3
330,66.6,25.0
340,69.9,25.5
350,72.8,25.8
360,75.7,26.1
370,77.6,26.0
380,80.4,26.2
390,82.7,26.3
400,84.7,26.2
410,86.1,26.0
420,86.9,25.7
430,87.0,25.1
440,86.5,24.4
450,85.4,23.5
460,83.1,22.4
470,79.1,20.9
480,74.8,19.3
490,71.2,18.0
500,68.3,16.9
510,65.9,16.0
520,62.0,14.8
530,53.9,12.6
540,44.2,10.1
550,37.2,8.39
560,33.3,7.37
570,30.4,6.61
580,27.5,5.89
590,24.6,5.18
600,21.6,4.47
610,18.6,3.78
620,15.5,3.11
630,12.5,2.46
640,9.58,1.86
650,7.01,1.34
