dataset,rebin_ps,k,n_events,delta_mean_ns,delta_rms_ns,delta_p50_ns,delta_p90_ns
LG,200.0,10,1577,-0.013802047746383474,0.06832311536665767,-0.015555557939741393,0.0724537931951154
LG,200.0,20,1577,-0.010728355579737314,0.09417902072471386,-0.01000001192092892,0.10665048735505334
LG,200.0,30,1577,-0.007984122653520088,0.10330682117014724,-0.0074370828591440175,0.12151690484137716
LG,200.0,40,1577,-0.006147898503833268,0.11197518892473338,-0.004867703410052826,0.13147596430278732
LG,200.0,50,1577,-0.004015029210302152,0.1247347419868607,-0.003529422493541823,0.15294691227950558
LG,200.0,60,1577,-0.0018877867636998634,0.14104472624435782,-0.0034343517789936495,0.1726244719368558
LG,200.0,70,1577,0.0002703527768559316,0.15763395187455517,-0.001428560699735515,0.19942484488294668
LG,200.0,80,1577,0.002470501745797012,0.17628452918392687,-0.0006666762034097662,0.22438955511984485
LG,200.0,90,1577,0.004881600213923733,0.19652318023589982,0.0018919085811925918,0.2501693279049385
LG,200.0,100,1577,0.006886776120283706,0.21833326521190805,0.006666646401087384,0.2799828997840231
LG,200.0,110,1577,0.00886580401594227,0.24101591132103659,0.006923084075634467,0.3157647108891431
LG,200.0,120,1577,0.010901355045391095,0.2633727483547474,0.009431457200576698,0.35021621812356507
LG,200.0,130,1577,0.012731029283285993,0.2866494341120597,0.010350876000889464,0.38091947360534173
LG,200.0,140,1577,0.015114911978777809,0.31024040439554224,0.01454930236584806,0.41344936066293103
LG,200.0,150,1577,0.018196185609484116,0.33497533667082385,0.014782619424487997,0.44561212407314404
LG,200.0,160,1577,0.021482611202551054,0.3612640716675966,0.01801171497991927,0.4834831277158491
LG,200.0,170,1577,0.023510214451216496,0.38825488561487886,0.020000019073486364,0.5263498529573878
LG,200.0,180,1577,0.026117206403156835,0.4164490289038033,0.021666646401087064,0.560606820682254
LG,200.0,190,1577,0.0296058717600184,0.44520691652554834,0.022380933307466044,0.6032029337146607
LG,200.0,200,1577,0.03406979305369422,0.4752078698717066,0.02615383542500993,0.6457040936228637
LG,200.0,210,1577,0.03888505842784523,0.5076350641910845,0.02928571190152862,0.7004021369383789
LG,200.0,220,1577,0.04319026239990223,0.5407239351468786,0.0372944189793869,0.7456299604678448
LG,200.0,230,1577,0.047988676403562885,0.5755780699665384,0.04555556509229852,0.7999532311562213
LG,200.0,240,1577,0.054218332052261016,0.6125767294511044,0.053333350022634285,0.8506381599488763
LG,200.0,250,1577,0.05863101718611342,0.6526221546459298,0.05444445278909482,0.9082912974751476
LG,200.0,260,1577,0.06303115918627084,0.696911360424823,0.0619662272948458,0.9628148193447684
LG,200.0,270,1577,0.06616917255424702,0.7423739303082726,0.06727272488854119,1.0497109056656675
LG,200.0,280,1577,0.06917036538370022,0.7901165281279778,0.07017488314730169,1.1075488517274643
LG,200.0,290,1577,0.07449057331584703,0.8425512021752978,0.06692308645982026,1.167510488875578
LG,200.0,300,1577,0.08092600293461087,0.8992534956608602,0.07530892567721859,1.2363381632975334
LG,200.0,310,1577,0.08605875773342114,0.9602641441119807,0.07555556628439142,1.324952379283451
LG,200.0,320,1577,0.09340548901155028,1.027012893064767,0.08873450204397249,1.4320919164365586
LG,200.0,330,1577,0.10139233283759125,1.0998723895540867,0.11524476358940561,1.5449572725866603
LG,200.0,340,1577,0.10709961375733174,1.1778212048429717,0.12496732860608817,1.6383308387501816
LG,200.0,350,1577,0.11375355480784999,1.2643594487712653,0.12205129754848931,1.7379202865172125
LG,200.0,360,1577,0.12047339528794178,1.3589841186813905,0.13111109203762528,1.8809999973773956
LG,200.0,370,1577,0.1293659511628643,1.4646697328651044,0.13230769230769202,2.035666664759318
LG,200.0,380,1577,0.13894793863934282,1.5901859981789743,0.15785715239388587,2.229142860957555
LG,200.0,390,1577,0.14845917799729677,1.729201670268017,0.16999999880790728,2.412920628721752
LG,200.0,400,1577,0.16022914827311996,1.8973722334006444,0.18777776824103487,2.632677451920735
LG,200.0,410,1577,0.1744449863923742,2.104332386024112,0.19952381906055194,2.9473333414395664
LG,200.0,420,1577,0.18531634565011237,2.36072798173325,0.22555555674764882,3.2547536303409634
LG,200.0,430,1577,0.19371725406848564,2.693972870465521,0.26359789432671965,3.704166653553646
LG,200.0,440,1577,0.21136250016813926,3.1850502050319096,0.2933333440621695,4.303105262204225
LG,200.0,450,1576,0.23642711397934063,4.107948340332089,0.32605691593352404,5.223703714432541
LG,200.0,460,1420,0.17714395685458606,5.029439343233167,0.36910868400983077,5.947447348989944
noLG,200.0,10,1580,-0.018149070932374254,0.056621959738918426,-0.018294107509494617,0.052727261998436636
noLG,200.0,20,1580,-0.016090053917934128,0.09252962354261239,-0.017147831327221336,0.10328570451055259
noLG,200.0,30,1580,-0.013023794031078369,0.11084498724462913,-0.018147003890071067,0.13118469229086793
noLG,200.0,40,1580,-0.01148777031796935,0.12027324566023263,-0.013366011581779302,0.14300824384680777
noLG,200.0,50,1580,-0.009495979609080765,0.1337362702945862,-0.01298884119747884,0.15928210290780487
noLG,200.0,60,1580,-0.00674918207567761,0.14947492155965258,-0.010294117647058898,0.18443440282049997
noLG,200.0,70,1580,-0.004560293294030662,0.16423669543481514,-0.007602623085474491,0.19984982114135127
noLG,200.0,80,1580,-0.0030353228846683065,0.17736621560530258,-0.0038373836867071076,0.21323121811965054
noLG,200.0,90,1580,-0.0016674037156980178,0.18977735200377527,-0.00191391732775692,0.23366014799328766
noLG,200.0,100,1580,7.973081470331403e-05,0.2018786062970216,-0.002769707885213024,0.2543359272004632
noLG,200.0,110,1580,0.0012670390183773903,0.2141215474851445,-0.003308892723460466,0.27737261610079456
