dataset,rebin_ps,quantile_percent,n_events,delta_mean_ns,delta_rms_ns,delta_p50_ns,delta_p90_ns
LG,200.0,1,3000,-0.01869145184028224,0.045334266271451484,-0.018248064480603787,0.0377972995767851
LG,200.0,2,3000,-0.01936845378926129,0.06023838661125112,-0.01972720455022181,0.05752951338789496
LG,200.0,3,3000,-0.019622887735082296,0.06961548455715914,-0.02042262608097606,0.06751102111285723
LG,200.0,4,3000,-0.019413689703325854,0.07785641252979374,-0.019664485922696595,0.07955996846893454
LG,200.0,5,3000,-0.01914986904856978,0.07684491542821585,-0.019999962707463625,0.07950447424063356
LG,200.0,6,3000,-0.019320688183110807,0.07173980841012821,-0.018766791058388188,0.07113771671577063
LG,200.0,7,3000,-0.01936288976730298,0.07088394501548312,-0.01933009951518566,0.0697136126247796
LG,200.0,8,3000,-0.019427931209549516,0.07290571120169406,-0.020084093855568197,0.07336002016448845
LG,200.0,9,3000,-0.019449403662494612,0.07480630123331333,-0.019812173835471625,0.07673991163951371
LG,200.0,10,3000,-0.01933532627712424,0.07693769774962929,-0.020255827387894,0.08134154658609247
LG,200.0,11,3000,-0.01908670536214588,0.08041892712158215,-0.01866045974295638,0.08421266671799872
LG,200.0,12,3000,-0.018804513644688402,0.08444938860529934,-0.01809414698366396,0.08810518383372422
LG,200.0,13,3000,-0.018591174413014742,0.08769210175510701,-0.01730878665570712,0.09322327082712616
LG,200.0,14,3000,-0.01857269450896448,0.09062766602140639,-0.017894654074632976,0.0961151737599078
LG,200.0,15,3000,-0.018698725473359778,0.09428466494348138,-0.018753236192170286,0.10109954697568317
LG,200.0,16,3000,-0.01882677179314192,0.09864880024574102,-0.01864147814750272,0.10588474100284503
LG,200.0,17,3000,-0.019019590931485808,0.10272620380134109,-0.018934610932779372,0.1102200642941829
LG,200.0,18,3000,-0.019310965322999554,0.10586921863276945,-0.019212792606287277,0.11406841752791971
LG,200.0,19,3000,-0.0196912415703969,0.10879180950300298,-0.019371621966386754,0.11769842861816658
LG,200.0,20,3000,-0.020154131537522792,0.11219602523317711,-0.020303050835862257,0.12007118980967722
LG,200.0,21,3000,-0.020633837594429508,0.11571143205861775,-0.020870298178620628,0.12534648845922902
LG,200.0,22,3000,-0.020820318297484056,0.11882709849928241,-0.021708264404161737,0.13160758926628952
LG,200.0,23,3000,-0.020831319506928157,0.12130731209590175,-0.020043991238204217,0.13539690243592142
LG,200.0,24,3000,-0.020740447540475385,0.12401111378535014,-0.020584531339267853,0.13801299637216521
LG,200.0,25,3000,-0.020710684201523572,0.12683760226793456,-0.021176618560759697,0.14301386334815935
LG,200.0,26,3000,-0.020876538133907482,0.12951086724700334,-0.02144429124192293,0.14465788943363272
LG,200.0,27,3000,-0.020969486468485128,0.13204293976884554,-0.02102953124195095,0.14859425342792193
LG,200.0,28,3000,-0.02106987810938157,0.13480179834098396,-0.02143939015136087,0.15057648897394457
LG,200.0,29,3000,-0.02125008961093675,0.13765457712481385,-0.02065047602982606,0.15544938324892438
LG,200.0,30,3000,-0.021474064988407093,0.1400206051172078,-0.02195015186300131,0.15830076692033265
LG,200.0,31,3000,-0.021692977761378074,0.14218508657330972,-0.02205628341605781,0.15942838724053782
LG,200.0,32,3000,-0.02194622321648036,0.14412485173478365,-0.022762929179522384,0.16150675051351798
LG,200.0,33,3000,-0.021953949934890696,0.14601913388199775,-0.022534600274457306,0.16563642113490556
LG,200.0,34,3000,-0.021637478550439824,0.14772102365042322,-0.021334038431890745,0.16861213997627802
LG,200.0,35,3000,-0.021246351249216543,0.1498459900539017,-0.020095225507872128,0.1718998666600827
LG,200.0,36,3000,-0.02138346433031479,0.1524515206551984,-0.019738433914997966,0.17251547005558968
LG,200.0,37,3000,-0.021775465114983898,0.15487649056191413,-0.0178718169056864,0.1746047153810965
LG,200.0,38,3000,-0.021869464730436633,0.15743463806956523,-0.02036077180986018,0.17751602114518303
LG,200.0,39,3000,-0.021535687887724378,0.16012749577183594,-0.018732918689776445,0.18172792310713878
LG,200.0,40,3000,-0.021204093795212146,0.16282858509586598,-0.018412903977635064,0.18415649972026937
LG,200.0,41,3000,-0.02086071957964637,0.16571361680231578,-0.017158231604653462,0.1890870558641346
LG,200.0,42,3000,-0.02032714271177213,0.16886913074093332,-0.017695856284499545,0.18944940653200812
LG,200.0,43,3000,-0.019656434449773053,0.17195680733511257,-0.015525558144094065,0.19351185273903046
LG,200.0,44,3000,-0.01939971307379003,0.17509164346658754,-0.015183352567931241,0.19598659232863858
LG,200.0,45,3000,-0.01959339143626809,0.1782080772865306,-0.018256289177287943,0.20269629050353455
LG,200.0,46,3000,-0.019730203123278615,0.18155791222436957,-0.019416709609019644,0.20816132253127737
LG,200.0,47,3000,-0.01998984957316936,0.18489797626746948,-0.015775063612026186,0.21566273541807135
LG,200.0,48,3000,-0.020215810163454005,0.18857131716272507,-0.015618114134573702,0.22070320723927211
LG,200.0,49,3000,-0.020106915537065333,0.19235734751857825,-0.01704288497350892,0.22421705113445284
LG,200.0,50,3000,-0.01980030694079682,0.19662989216371546,-0.01584352310026138,0.2291295106458402
