cfd_fraction,dataset,sigma_ns,sigma_err_ns,sigma_ps,sigma_err_ps
0.1,LG,0.07043946973466755,0.0010054613898734521,70.43946973466755,1.0054613898734521
0.1,noLG,0.07981948788935075,0.0012069655963260345,79.81948788935075,1.2069655963260346
0.2,LG,0.08328701987972327,0.0012102533663771037,83.28701987972327,1.2102533663771036
0.2,noLG,0.09099484430627058,0.0013540841494507488,90.99484430627058,1.354084149450749
0.3,LG,0.0944490673707367,0.0013869214614119843,94.4490673707367,1.3869214614119842
0.3,noLG,0.09928366125029822,0.0014809977480933073,99.28366125029822,1.4809977480933072
0.4,LG,0.10455577288587749,0.0015678993944781977,104.55577288587749,1.5678993944781978
0.4,noLG,0.10897979274513464,0.001642502176836133,108.97979274513465,1.6425021768361332
0.5,LG,0.11542106650230333,0.0017229972940411425,115.42106650230333,1.7229972940411424
0.5,noLG,0.1198996959659977,0.0017877242524111242,119.8996959659977,1.7877242524111243
0.6,LG,0.12884405396840323,0.001899759882751012,128.84405396840324,1.899759882751012
0.6,noLG,0.12957114822091173,0.001988432631205378,129.57114822091174,1.988432631205378
0.7,LG,0.14009671416198283,0.002179129477994604,140.09671416198282,2.179129477994604
0.7,noLG,0.14517836079175167,0.0022850936883758305,145.17836079175166,2.2850936883758304
0.8,LG,0.16268262048299373,0.0025821746793770334,162.68262048299374,2.5821746793770335
0.8,noLG,0.15669678846606844,0.0023937900171753235,156.69678846606843,2.3937900171753235
0.9,LG,0.1930489664393992,0.003160202026500733,193.0489664393992,3.160202026500733
0.9,noLG,0.1868280036096039,0.003005735570367929,186.82800360960388,3.005735570367929
